Company,year,coal,electricity & consumption,energy & consumption,fatal,gas,genderdiversity & women,hydro,jobs,male,man,management & women,oil,scope1,scope2,scope3,solar,total & waste,training & hours,turnover,waste & recycled,water & consumption,women,G_value,ESG_score
Nofar,2021,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2021,0,0,0,0,0,21,40,0,57.33686067
Cheniere,2022,0,0,0,0,0,0,0,0,0,0,0,0,4555261,31009,0,0,0,0,30086129138,0,0,0,0,34.69135802
Canacol,2022,0,0,1.13,0,2.02E+27,0,2022,0,0,3.29E+11,0,0,0,0,0,373,0,0,0,0,2019,0,1,63.48765432
Canacol,2023,0,0,0,0,351.8,0,89732,0,0,183000,35,98.89,15161.2,0,0,0,120898,0,2023,0,2021,182,0,39.62081129
Cheniere,2023,0,0,0,3,5092451706,0,0,0,0,0,0,0,67893178,172399,0,0,0,0,138195,27396337,0,3333,0,41.84303351
LGES,2022,0,0,90,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,91,0,1,62.99382716
NFE,2022,0,0,0,0,0,0,0,0,0,0,0,0,1979580,46781,0,0,0,0,0,0,0,0,0,45.95679012
Gibson,2021,0,0,447365,1,2021,0,1146,0,0,2021,0,7417,96599,0,0,0,67.1,0,0,0,0,40,0,38.32451499
ENN,2021,92466.9,0,92466.9,1,13080493.39,0,0,0,26982,10998,0,0,3746,1760,0,0,0,92,16.51,0,1989478.19,0,0,40.79365079
LGES,2023,0,0,43119,0,0,0,0,0,909963,1127818,0,0,0,0,0,0,2934825,122,0,0,0,0,0,43.57142857
ENN,2022,76006.56,0,76006.56,0.08,12053725.19,0,0,0,25730,17400,0,0,0,0,0,0,0,27.36,18.18,0,1869148.83,0,0,45.23809524
NFE,2020,0,0,0,0,133361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.85802469
ENN,2023,85106.43,0,85106.43,0.08,15495045.29,0,0,0,25129,10968,0,0,234300.942,92919.67,0,0,0,84,18.7,0,1856763.22,0,1,52.02821869
Gibson,2023,0,0,464594,0,0,0,1162,0,0,2023,33,6420,0,0,1249714,0,80.3,27.7,11,1.92,0,48,0,43.44797178
LGES,2021,0,0,19582,0,19582,0,0,0,11504,8795783,0,0,1347068,1077958,0,0,143891,138,0,0,0,0,2,54.74426808
Nofar,2023,0,59948,0,2,37728,25,0,273,0,0,0,0,526,251,363,0,0,0,0,0,0,0,2,67.12962963
Cheniere,2021,0,0,0,0,4.96,0,0,0,0,0,0,4,3505689,31009,0,0,0,0,0,0,0,0,0,45.46296296
Canacol,2021,0,192,7812,0,7423,0,20212020,0,0,7319,0,0,0,0,0,57,0,0,10.41,0,53.81,0,1,57.77777778
Nofar,2022,0,0,0,0,37728,0,0,0,0,120000,0,0,2021,28,4037,0,0,0,0,0,500013,0,2,66.63580247
vesta,2022,0,641,0,0,23668,183,0,0,98,2,8.18,0,0,0,23,0,0,0,0,0,0,0,0,52.33686067
vesta,2023,0,658,0,0,25342,4752,0,0,108,1,7.66,0,0,0,16.9,0,0,0,0,0,0,0,0,52.33686067
longi,2021,0,58,0,0,0,3158,0,0,29,29,20920503.3,0,0,0,0,0,0,0,0,1,0,0,0,52.33686067
NEE,2023,6065258,0,59752003,1811409,0,2005,29745644,23828305,0,0,0,275393,0,0,0,0,0,7298422,7952,0,0,0,0,45.55555556
vesta,2021,0,738,0,0,24929,5899,0,0,0,3,10.56,0,0,0,2572,0,0,983,0,0,0,0,0,62.19135802
NEE,2022,6065258,0,59752003,1811409,0,2005,29745644,23828305,0,0,0,275393,0,0,0,0,0,7298422,26,0,0,0,0,46.66666667
longi,2023,0,151.49,0,0,55033,100,0,0,135747.14,4943454.12,36990041.6,0,441654.12,10000,0,694.81,28728.1,0,0,0,0,0,0,39.00352734
NEE,2024,6065258,0,59752003,1811409,0,2005,29745644,23828305,0,0,0,275393,0,0,0,0,0,7298422,8232900,0,0,0,0,44.44444444
