company,emissions,carbon,diversity,board,governance,e,s,g,overall,grade
Eco Tech,4,1,3,3,2,50,30,50,43,C
Clean Solutions,3,1,2,2,2,40,20,40,33,D
Energy Partners,4,2,1,3,4,60,10,70,47,C
Eco Systems,4,1,1,2,2,50,10,40,33,D
Eco Fund,3,1,4,1,3,40,40,40,40,C
Solar Tech,3,2,4,2,1,50,40,30,40,C
Green Corp,4,2,0,1,7,60,0,80,47,C
Energy Solutions,3,1,2,2,1,40,20,30,30,D
Carbon Fund,4,3,1,0,2,70,10,20,33,D
Green Systems,3,2,2,3,1,50,20,40,37,D
Energy Systems,3,2,1,1,3,50,10,40,33,D
Solar Solutions,1,4,2,0,5,50,20,50,40,C
Wind Fund,4,2,0,0,1,60,0,10,23,D
Clean Tech,3,2,3,2,2,50,30,40,40,C
Future Group,6,1,2,1,4,70,20,50,47,C
Blue Holdings,6,2,4,2,6,80,40,80,67,B
Future Solutions,8,3,0,1,3,100,0,40,47,C
Blue Corp,0,0,2,2,2,0,20,40,20,D
Eco Group,6,2,0,0,4,80,0,40,40,C
Eco Enterprises,1,3,4,1,1,40,40,20,33,D
Blue Fund,1,0,3,2,4,10,30,60,33,D
Clean Tech,5,0,1,3,7,50,10,100,53,C
Wind Systems,1,0,0,1,2,10,0,30,13,D
Eco Group,2,5,1,3,7,70,10,100,60,B
Eco Systems,5,0,1,4,2,50,10,60,40,C
Clean Fund,4,1,3,0,3,50,30,30,37,D
Blue Fund,2,2,0,3,4,40,0,70,37,D
Energy Corp,4,1,1,0,3,50,10,30,30,D
Green Solutions,4,1,1,3,6,50,10,90,50,C
Clean Corp,2,3,2,2,4,50,20,60,43,C
Energy Corp,3,5,2,0,3,80,20,30,43,C
Solar Holdings,6,1,8,1,5,70,80,60,70,B
Wind Enterprises,2,4,2,0,4,60,20,40,40,C
Future Enterprises,0,2,3,5,5,20,30,100,50,C
Blue Solutions,3,0,0,1,2,30,0,30,20,D
Clean Corp,3,1,1,1,2,40,10,30,27,D
Smart Partners,3,2,2,3,2,50,20,50,40,C
Carbon Solutions,4,3,1,2,2,70,10,40,40,C
Future Ltd,2,0,5,3,1,20,50,40,37,D
Solar Holdings,3,3,1,1,1,60,10,20,30,D
Carbon Solutions,2,2,4,1,5,40,40,60,47,C
Blue Tech,3,0,2,1,1,30,20,20,23,D
Energy Tech,1,0,3,4,4,10,30,80,40,C
Blue Group,3,3,2,1,4,60,20,50,43,C
Clean Corp,4,2,4,0,3,60,40,30,43,C
Energy Fund,5,1,1,3,3,60,10,60,43,C
Blue Solutions,2,2,3,1,5,40,30,60,43,C
Wind Group,3,6,3,3,5,90,30,80,67,B
Wind Partners,2,2,1,3,3,40,10,60,37,D
Clean Partners,1,3,2,1,3,40,20,40,33,D
Energy Systems,3,3,1,2,4,60,10,60,43,C
Carbon Holdings,2,3,2,1,1,50,20,20,30,D
Smart Group,2,0,0,2,1,20,0,30,17,D
Smart Group,4,2,1,0,1,60,10,10,27,D
Blue Solutions,2,3,2,3,3,50,20,60,43,C
Future Systems,5,2,1,3,1,70,10,40,40,C
Wind Corp,3,3,0,1,4,60,0,50,37,D
Green Corp,4,1,0,2,3,50,0,50,33,D
Future Partners,5,0,2,2,2,50,20,40,37,D
Solar Fund,4,3,2,1,3,70,20,40,43,C
Eco Group,7,3,2,2,8,100,20,100,73,B
Solar Fund,1,2,0,3,3,30,0,60,30,D
Wind Systems,4,1,5,3,6,50,50,90,63,B
Clean Systems,1,1,1,0,4,20,10,40,23,D
Green Corp,3,4,4,1,1,70,40,20,43,C
Carbon Holdings,3,5,2,2,3,80,20,50,50,C
Blue Corp,2,6,2,2,2,80,20,40,47,C
Clean Group,5,2,8,2,2,70,80,40,63,B
Future Ltd,2,1,3,3,4,30,30,70,43,C
Green Holdings,6,2,2,2,0,80,20,20,40,C
Carbon Partners,6,0,2,2,3,60,20,50,43,C
Carbon Corp,3,2,2,3,4,50,20,70,47,C
Clean Systems,1,3,3,4,0,40,30,40,37,D
Smart Solutions,4,0,2,1,3,40,20,40,33,D
Future Enterprises,1,0,2,4,2,10,20,60,30,D
Future Systems,3,2,2,1,1,50,20,20,30,D
Carbon Tech,3,1,0,2,1,40,0,30,23,D
Smart Enterprises,7,4,2,0,1,100,20,10,43,C
Wind Tech,4,4,4,1,0,80,40,10,43,C
Eco Enterprises,5,1,1,4,5,60,10,90,53,C
Clean Solutions,4,2,2,2,4,60,20,60,47,C
Green Solutions,3,3,2,0,2,60,20,20,33,D
Smart Corp,4,1,0,5,2,50,0,70,40,C
Eco Ltd,1,2,0,2,1,30,0,30,20,D
Eco Systems,3,4,2,0,2,70,20,20,37,D
Future Partners,3,2,5,2,5,50,50,70,57,C
Wind Systems,2,1,5,2,6,30,50,80,53,C
Future Holdings,1,1,2,1,2,20,20,30,23,D
Carbon Fund,4,3,1,2,5,70,10,70,50,C
Solar Solutions,1,3,0,2,2,40,0,40,27,D
Carbon Solutions,3,2,1,1,3,50,10,40,33,D
Clean Group,5,0,5,1,4,50,50,50,50,C
Blue Ltd,5,3,3,0,3,80,30,30,47,C
Carbon Ltd,4,2,3,0,3,60,30,30,40,C
Eco Solutions,2,1,1,1,5,30,10,60,33,D
Energy Corp,4,3,2,2,1,70,20,30,40,C
Blue Tech,5,1,6,1,3,60,60,40,53,C
Smart Systems,2,0,3,3,5,20,30,80,43,C
Energy Fund,6,0,1,4,4,60,10,80,50,C
Energy Tech,3,1,0,0,4,40,0,40,27,D
Eco Tech,3,2,1,0,2,50,10,20,27,D
Energy Corp,2,2,0,1,1,40,0,20,20,D
Green Enterprises,5,2,2,2,2,70,20,40,43,C
Eco Systems,2,2,1,0,5,40,10,50,33,D
Energy Holdings,3,1,2,2,7,40,20,90,50,C
Wind Solutions,1,5,1,1,3,60,10,40,37,D
Carbon Partners,2,0,0,3,3,20,0,60,27,D
Smart Fund,1,2,0,0,5,30,0,50,27,D
Wind Solutions,3,1,4,4,3,40,40,70,50,C
Wind Group,4,0,2,5,6,40,20,100,53,C
Energy Corp,3,1,2,4,5,40,20,90,50,C
Eco Group,3,3,2,3,3,60,20,60,47,C
Blue Group,1,3,1,3,5,40,10,80,43,C
Solar Ltd,1,3,3,3,5,40,30,80,50,C
Green Corp,1,4,1,1,6,50,10,70,43,C
Green Group,3,3,1,1,0,60,10,10,27,D
Blue Corp,3,2,3,2,2,50,30,40,40,C
Energy Solutions,3,1,3,0,2,40,30,20,30,D
Energy Systems,3,2,1,0,3,50,10,30,30,D
Wind Partners,2,4,1,3,4,60,10,70,47,C
Solar Partners,1,1,2,1,2,20,20,30,23,D
Clean Ltd,2,2,4,2,3,40,40,50,43,C
Energy Corp,2,1,2,4,2,30,20,60,37,D
Wind Systems,1,3,5,2,6,40,50,80,57,C
Eco Tech,5,2,2,1,2,70,20,30,40,C
Carbon Tech,7,2,0,4,5,90,0,90,60,B
Eco Solutions,4,3,2,1,4,70,20,50,47,C
Future Group,5,3,2,3,2,80,20,50,50,C
Wind Ltd,0,4,3,2,4,40,30,60,43,C
Energy Group,2,0,4,3,4,20,40,70,43,C
Green Partners,3,0,1,2,3,30,10,50,30,D
Solar Tech,6,2,4,2,3,80,40,50,57,C
Solar Holdings,4,4,4,1,6,80,40,70,63,B
Wind Holdings,1,1,1,1,3,20,10,40,23,D
Solar Systems,2,1,0,1,1,30,0,20,17,D
Wind Partners,5,0,1,3,3,50,10,60,40,C
Energy Holdings,4,4,0,1,1,80,0,20,33,D
Energy Tech,2,2,0,2,1,40,0,30,23,D
Smart Systems,5,5,1,1,0,100,10,10,40,C
Green Enterprises,3,0,0,3,4,30,0,70,33,D
Green Tech,7,2,3,1,2,90,30,30,50,C
Smart Ltd,1,3,1,3,3,40,10,60,37,D
Carbon Systems,1,3,0,1,0,40,0,10,17,D
Future Tech,4,4,3,1,2,80,30,30,47,C
Carbon Corp,4,1,0,1,4,50,0,50,33,D
Future Corp,5,3,1,2,5,80,10,70,53,C
Smart Corp,3,2,4,1,3,50,40,40,43,C
Energy Group,7,2,4,3,1,90,40,40,57,C
Eco Fund,4,1,2,1,4,50,20,50,40,C
Energy Fund,4,5,1,2,1,90,10,30,43,C
Smart Tech,4,1,3,0,2,50,30,20,33,D
Smart Corp,5,1,4,0,5,60,40,50,50,C
Solar Fund,5,1,2,1,1,60,20,20,33,D
Smart Systems,2,1,2,1,3,30,20,40,30,D
Blue Holdings,3,4,1,2,2,70,10,40,40,C
Energy Enterprises,6,1,2,3,2,70,20,50,47,C
